20,04/03/2024,20,,,,KES,90000,14400,104400,Invoiced,4,GT BANK SKYPARK RENTAL UPS FOR THE MONTH OF JANUARY,11
21,07/03/2024,23,,,,USD,2665,0,2665,Paid,3,JAMBO FOOD 30KVA UPS SERVICE,11
22,13/03/2024,17,,,,KSH,100200,16032,116232,Invoiced,3,EXCELCHEMICALS 160KVA UPS PM,10
23,19/03/2024,12,,,,KSH,40000,6400,46400,Invoiced,4,CCBA NAIROBI BOTTLERS LINE 9 UPS DIAGNOSIS,11
24,22/03/2024,33,,,,KSH,254288,40686.08,294974.08,Invoiced,4,METROPOL BATTERY REPLACEMENT,13
25,27/03/2024,34,,,,USD,48487.02,7757.92,56244.94,Invoiced,1,MP SHAH ABB 30KVA UPS AND INSTALLATION,12
26,02/04/2024,20,,,,KES,90000,14400,104400,Invoiced,4,GT BANK SKYPARK RENTAL UPS FOR THE MONTH OF MARCH,11
27,03/04/2024,3,,,,KES,47096,27184,74280,Paid,3,ALBA HOTEL 6KVA UPS REPAIR,11
28,03/04/2024,19,,,,USD,2651,424.16,3075.16,Invoiced,4,GE TANZANIA COMMISSIONING OF ABB UPS,12
29,05/04/2024,20,,,,KES,22500,3600,26100,Invoiced,4,GT BANK RENTAL UPS FOR THE 1ST WEEK OF APRIL,11
30,05/04/2024,35,,,,KES,20000,3200,23200,Invoiced,4,OLA 10KVA UPS DIAGNOSIS,11
31,05/04/2024,19,,,,USD,600,96,696,Invoiced,4,GE AGA KHAN 160KVA UPS DIAGNOSIS,11
32,12/04/2024,1,,,,KSH,850424,136067.84,986491.84,Invoiced,1,ADC TSEBO ONE-OFF PREVENTIVE MAINTENANCE,10
33,15/04/2024,14,,,,USD,7898,0,7898,Paid,3,DELTA BEVERAGES ZIMBABWE 30KVA UPS SPARES,3
34,16/04/2024,30,,,,KES,150000,24000,174000,Invoiced,3,KINANGOP DAIRY ONE OFF PM(FEB-JUNE),10
35,17/04/2024,14,,,,KES,33250,5320,38570,Invoiced,4,DEL MONTE 20KVA UPS DIAGNOSIS,11
36,17/04/2024,22,,,,KES,220403,35264.48,255667.48,Order Placement,3,ISUZU EA QUARTERLY (Q2) SERVICE(APRIL-JUNE),10
37,22/04/2024,34,,,,KES,194238,31078.08,225316.08,Order Placement,4,MP SHAH 20KVA UPS BATTERY REPLACEMENT,13
38,22/04/2024,34,,,,KES,15000,2400,17400,Order Placement,4,MP SHAH 20KVA UPS DIAGNOSIS,11
39,29/04/2024,21,,,,KES,43500,6960,50460,Order Placement,4,GE COURTYARD 10KVA UPS SERVICE,10
40,30/04/2024,31,,,,KES,163500,26160,189660,Invoiced,4,KRONES RWANDA GE UPS DIAGNOSIS,11
41,02/05/2024,34,,,,KES,40000,6400,46400,Order Placement,4,MP SHAH POWER LOGGER FOR 2 DAYS,11
42,02/05/2024,27,,,,KES,224000,35840,259840,Order Placement,3,KENET QUARTERLY SERVICE,10
43,06/05/2024,12,,,,KES,97000,15520,112520,Invoiced,4,EQUATOR BOTTLERS UPS RELOCATION,11
44,06/05/2024,40,,,,KES,93312,14929.92,108241.92,Order Placement,3,SOCIAL HOUCE BATTERIES,13
45,08/05/2024,41,,,,KES,68675,10988,79663,Order Placement,4,TOTAL LPG 5KVA UPS RELOCATION,11
46,09/05/2024,41,,,,KES,435990,69758.4,505748.4,Order Placement,3,TOTAL QUARTERLY SERVICE FOR 80KVA UPS AND AVR,10
47,13/05/2024,33,,,,KES,34482.76,5517.24,40000,Paid,4,METROPOL 20KVA UPS DIAGNOSIS,11
48,13/05/2024,19,,,,USD,4937.05,789.93,5726.98,Order Placement,4,GE AGA KHAN 160KVA UPS SPARES,3
49,14/05/2024,24,,,,KES,280000,44800,324800,Order Placement,3,JETLAK BI-ANNUAL UPS MAINTENANCE,10
50,17/05/2024,41,,,,KES,121825,19492,141317,Order Placement,4,TOTAL WILSON AIRPORT CSB BATTERY REPLACEMENT,13
51,27/05/2024,14,,,,KES,215000,34000,249000,Order Placement,3,DEL MONTE AVR 630KVA SERVICING,10
52,28/05/2024,39,,,,KES,61000,9760,70760,Invoiced,4,UPS DIAGNOSIS AND REPORTING,11
53,29/05/2024,41,,,,KES,90000,14400,104400,Invoiced,4,TOTAL WILSON BATTERIES REPLACEMENT,13
54,31/05/2024,9,,,,KES,52260,8361.6,60621.6,Order Placement,3,BRITAM MURANG'A UPS REPAIR,11
55,03/06/2024,13,,,,KES,340000,54000,394000,Order Placement,3,KWALE PROPOSED MAINTENANCE OF POWER BACKUP SYSTEM,11
56,03/06/2024,7,,,,USD,14000,2240,16240,Order Placement,1,BQ AVR RADAR CONFIGURATION,11
57,05/06/2024,12,,,,USD,2345,0,2345,Order Placement,4,CCBA UGANDA UPS DIAGNOSIS AND REPORTING,11
58,10/06/2024,12,,,,KES,568611,90977.76,659588.76,Order Placement,3,CCBA NAIROBI BOTTLERS LINE 3 UPS SPARES AND REPAIR,3
